epoch,con_loss,adv_loss,dic_loss
11,0.3039,,
11,0.137,,
11,0.0938,,
11,0.3212,,
11,0.3914,,
11,0.1486,,
11,0.2736,,
11,0.2279,,
11,0.2092,,
11,0.1902,,
11,0.1711,,
11,0.3288,,
11,0.2433,,
11,0.3816,,
11,0.1918,,
11,0.1885,,
11,0.3535,,
11,0.1814,,
11,0.2244,,
12,0.2162,,
12,0.2613,,
12,0.1771,,
12,0.1991,,
12,0.2458,,
12,0.1881,,
12,0.2446,,
12,0.2174,,
12,0.1771,,
12,0.1681,,
12,0.3187,,
12,0.1847,,
12,0.2432,,
12,0.3744,,
12,0.1493,,
12,0.2842,,
12,0.2364,,
12,0.2105,,
12,0.3033,,
12,0.2086,,
12,0.1784,,
12,0.3243,,
12,0.2846,,
12,0.3475,,
12,0.2896,,
12,0.2799,,
12,0.2229,,
12,0.2584,,
12,0.33,,
12,0.1891,,
12,0.1864,,
12,0.2116,,
12,0.2883,,
12,0.155,,
12,0.2026,,
12,0.2811,,
12,0.2377,,
12,0.226,,
12,0.2909,,
12,0.1436,,
12,0.1719,,
12,0.3148,,
12,0.1952,,
12,0.1938,,
12,0.187,,
12,0.2027,,
12,0.2356,,
12,0.2328,,
12,0.2408,,
12,0.1826,,
13,0.2512,,
13,0.2557,,
13,0.1996,,
13,0.1585,,
13,0.1694,,
13,0.2187,,
13,0.1977,,
13,0.3892,,
13,0.1391,,
13,0.2392,,
13,0.2266,,
13,0.3279,,
13,0.1219,,
13,0.347,,
13,0.2726,,
13,0.2156,,
13,0.3401,,
13,0.192,,
13,0.2655,,
13,0.2747,,
13,0.207,,
13,0.1753,,
13,0.3321,,
13,0.2458,,
13,0.3056,,
13,0.1736,,
13,0.2135,,
13,0.3971,,
13,0.1944,,
13,0.1197,,
13,0.3038,,
13,0.3327,,
13,0.2954,,
13,0.2483,,
13,0.286,,
13,0.2676,,
13,0.2656,,
13,0.2435,,
13,0.1273,,
13,0.3571,,
13,0.183,,
13,0.1841,,
13,0.4024,,
13,0.2594,,
13,0.1856,,
13,0.3587,,
13,0.0935,,
13,0.2135,,
13,0.3424,,
13,0.2547,,
14,0.1779,,
14,0.2457,,
14,0.1866,,
14,0.2739,,
14,0.2822,,
14,0.1526,,
14,0.1679,,
14,0.2619,,
14,0.1627,,
14,0.2074,,
14,0.239,,
14,0.3573,,
14,0.2027,,
14,0.209,,
14,0.2426,,
14,0.2814,,
14,0.283,,
14,0.2028,,
14,0.2514,,
14,0.1577,,
14,0.2613,,
14,0.2708,,
14,0.2261,,
14,0.4052,,
14,0.1968,,
14,0.1888,,
14,0.3157,,
14,0.181,,
14,0.1899,,
14,0.2909,,
14,0.2091,,
14,0.1602,,
14,0.226,,
14,0.2694,,
14,0.2546,,
14,0.2748,,
14,0.2108,,
14,0.2945,,
14,0.1951,,
14,0.2935,,
14,0.1404,,
14,0.266,,
14,0.2969,,
14,0.1645,,
14,0.2766,,
