mode,layer_count,epoch,batch_size,active_function,loss_function,optimizer_function,lr,weight_decay,time,loss_train,loss_validate,acc_train,acc_validate,acc_test,remark
MLP,3,26,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.59212064743042,1.1936635004281997,1.3038656071662902,0.572825,0.5355,0,"num_neurons:[512, 256, 128]"
MLP,3,27,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.72183895111084,1.187301648914814,1.3028674885749816,0.57385,0.5416,0,"num_neurons:[512, 256, 128]"
MLP,3,28,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.660152912139893,1.18837268576622,1.300656381893158,0.570725,0.5347,0,"num_neurons:[512, 256, 128]"
MLP,3,29,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.684038400650024,1.1895348874688148,1.3046553033351898,0.571925,0.5379,0,"num_neurons:[512, 256, 128]"
MLP,3,30,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.835518836975098,1.1891017738342284,1.298874987220764,0.5743,0.5395,0,"num_neurons:[512, 256, 128]"
MLP,4,1,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.158714056015015,1.9063889111995698,1.7796715967178345,0.30545,0.3571,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,2,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.15089249610901,1.6980675920724868,1.6765587923049927,0.3903,0.3869,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,3,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.14979577064514,1.6241012236118317,1.6140086179733277,0.411475,0.4168,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,4,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.11033582687378,1.5648609178543091,1.6036577836036683,0.437525,0.4228,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,5,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.194847583770752,1.5302281498670578,1.5793818468093872,0.448075,0.4294,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,6,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,26.097020387649536,1.4532376805782319,1.4791883134841919,0.478925,0.4693,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,7,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.80195903778076,1.4330251034259796,1.4695149359703064,0.485675,0.4725,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,8,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,26.1140878200531,1.4153901028156282,1.456688752269745,0.49065,0.4823,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,9,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,26.158323287963867,1.3989498833417893,1.4362058349609375,0.4974,0.4884,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,10,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.919877767562866,1.3839233456134796,1.4171928372383118,0.50195,0.4949,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,11,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.588297367095947,1.3379268198251724,1.4178345846176148,0.521775,0.4915,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,12,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.738835334777832,1.3292381751298905,1.3906157285690308,0.5216,0.5032,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,13,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.658523321151733,1.313772111582756,1.3871551738739014,0.5278,0.5079,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,14,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.817881107330322,1.3102579879760743,1.3591861846923827,0.528775,0.5182,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,15,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,26.24254584312439,1.3021342965602876,1.3771989382743834,0.53215,0.5113,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,16,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.87298274040222,1.2726612250566482,1.3470229195594787,0.54365,0.5168,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,17,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.690605878829956,1.2644905053138733,1.3418487250328064,0.545775,0.5228,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,18,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.65734076499939,1.2576593618392944,1.3414350795745849,0.54685,0.5226,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,19,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.99040985107422,1.2556664883494377,1.3411881943702697,0.550475,0.5265,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,20,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.674388885498047,1.2486276530265807,1.3353447323799132,0.551175,0.5268,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,21,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.60220217704773,1.2320146765947342,1.3284385099411011,0.558725,0.531,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,22,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.624666213989258,1.2342015350818634,1.3187667266845704,0.557775,0.5308,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,23,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.606971740722656,1.2286189403057097,1.3233590299606324,0.55725,0.529,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,24,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.566280364990234,1.2225108444213868,1.3171139301300048,0.56215,0.5331,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,25,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.67937684059143,1.2249299602031707,1.315294361591339,0.559425,0.5337,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,26,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,26.091635704040527,1.2095613448619842,1.3110600762367248,0.5667,0.5391,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,27,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.6476731300354,1.209859715819359,1.3092104845046997,0.566325,0.5345,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,28,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.496679067611694,1.2124107269525528,1.3066845461845398,0.565675,0.5377,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,29,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.58634376525879,1.205170461654663,1.311800471496582,0.568225,0.5375,0,"num_neurons:[512, 256, 128, 64]"
MLP,4,30,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.525259733200073,1.208585089123249,1.315705880832672,0.5665,0.5343,0,"num_neurons:[512, 256, 128, 64]"
MLP,5,1,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.98441457748413,2.0341789793014526,1.8896227224349975,0.2469,0.3064,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,2,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,26.074045658111572,1.7653963507652282,1.7299470092773437,0.35925,0.3671,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,3,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.737189292907715,1.66505428481102,1.6432983058929442,0.396975,0.4107,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,4,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.897298336029053,1.5997299542665482,1.602491632461548,0.425575,0.4168,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,5,16,ReLU,CrossEntropyLoss,SGD,0.001,0.0001,25.753541469573975,1.5587259918451308,1.554406096458435,0.4395,0.4386,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,6,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.619737148284912,1.4810437771320344,1.502980511856079,0.4683,0.4657,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,7,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.53779649734497,1.4527285439014435,1.4961833360671997,0.475825,0.4689,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,8,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.6214337348938,1.4373120896577836,1.4735418440818786,0.481925,0.4719,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,9,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,25.579549312591553,1.4234460785865783,1.464084019947052,0.48745,0.4737,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,10,16,ReLU,CrossEntropyLoss,SGD,0.0005,0.0001,26.02101731300354,1.4009412895202638,1.4454936487197876,0.49735,0.4821,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,11,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.884466409683228,1.3562643903255462,1.415565770149231,0.508625,0.4948,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,12,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.65810227394104,1.343382615661621,1.3924837155342102,0.518325,0.5007,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,13,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.681026458740234,1.3371666682958603,1.3910071222305298,0.519775,0.499,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,14,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.965238094329834,1.32701360976696,1.3863304582595826,0.5239,0.5054,0,"num_neurons:[512, 256, 128, 64, 32]"
