net_function,active_function,loss_function,optimizer_function,weight_decay,momentum,use_lr_scheduler,epoch,val_loss,val_dsc
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,26,0.328707224,0.818354695
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,27,0.328865704,0.817968919
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,28,0.33319167,0.818106781
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,29,0.321826591,0.815924449
UNet,ReLU,DiceLoss,Adam,0,0.9,FALSE,30,0.314633983,0.908638036
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,1,0.912004164,0.489875322
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,2,0.887132588,0.737806474
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,3,0.854698939,0.759801386
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,4,0.805429811,0.776306037
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,5,0.75505142,0.789065184
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,6,0.70609819,0.800802588
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,7,0.652997034,0.801810107
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,8,0.605386331,0.811503444
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,9,0.587739828,0.806372665
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,10,0.534673137,0.814503429
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,11,0.504760186,0.81788655
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,12,0.4911443,0.8155864
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,13,0.469677108,0.816693724
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,14,0.448840002,0.81641607
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,15,0.435810143,0.816302532
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,16,0.423342915,0.816254013
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,17,0.414162292,0.814495434
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,18,0.40688391,0.813370808
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,19,0.408117621,0.814948766
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,20,0.392436042,0.815353816
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,21,0.38615837,0.815973334
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,22,0.383812087,0.814728293
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,23,0.382690486,0.810265824
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,24,0.379337373,0.812875687
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,25,0.381473575,0.81154123
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,26,0.377397637,0.809548218
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,27,0.374170423,0.811745622
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,28,0.370574914,0.813314923
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,29,0.370879636,0.813983784
UNet,ReLU,DiceLoss,Adam,0,0.9,TRUE,30,0.363554143,0.813400409
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,1,0.929738076,0.669779758
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,2,0.920575241,0.707258273
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,3,0.90950661,0.719032868
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,4,0.892302536,0.756075594
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,5,0.872081975,0.765232802
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,6,0.850509198,0.769232043
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,7,0.815029317,0.867542065
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,8,0.767362983,0.797283904
UNet,ReLU,DiceLoss,Adam,0.0001,0.9,FALSE,9,0.717923925,0.803927331
